receiver_email,url,r_actual_date
abdera-user@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Thu Jan  4 18:48:33 2007
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Fri Jan  5 00:04:15 2007
abdera-user@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Sun Jan 28 04:19:44 2007
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Tue Jan  1 18:04:39 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Thu Jan  3 16:01:37 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Thu Jan  3 20:43:26 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Thu Jan  3 21:41:25 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Thu Jan  3 23:19:26 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Sun Jan  6 05:29:39 2008
abdera-user@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan  7 16:24:02 2008
abdera-user@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan  7 18:14:53 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan  7 19:30:36 2008
abdera-user@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan  7 21:11:40 2008
"abdera-dev@incubator.apache.org, abdera-user@incubator.apache.org",http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Tue Jan  8 16:04:32 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Tue Jan  8 22:43:54 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Wed Jan  9 00:16:16 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Wed Jan  9 23:13:34 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Fri Jan 11 01:57:06 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan 14 15:38:39 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan 14 19:16:28 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan 14 20:18:15 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan 14 20:27:39 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Mon Jan 14 21:49:16 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Tue Jan 15 00:01:18 2008
abdera-dev@incubator.apache.org,http://mail-archives.apache.org/mod_mbox/abdera-user/200608.mbox/<5c932c650608260831t1f1fd7dbw1022266332ea8c36@mail.gmail.com>,Tue Jan 15 01:01:36 2008
